round,date,config,local_2024,lb,local_delta,lb_delta,ratio,rule_ok,note
16,2026-08-12,+ 플래툰x카운트 중첩 편차 w=0.20 (부모=플래툰셀),796.48,950.0112119476,3.98,3.63,0.91,yes,예상 948.82(k2=0.77 가정) 실측 950.01. 역산 k2=0.9340 — 3단 중첩이 플래툰(0.7685)보다 더 잘 전이됐다. 중첩이 깊을수록 수준 성분이 뺄셈으로 소거돼 전이가 좋아진다. w2 를 3배 낮게 걸었다 (최적 0.5785)
17,2026-08-12,+ w2 재최적화 0.5785 (alpha 1.089294 center 0.622802),,952.4231549068,,2.41,,yes,예상 952.72 실측 952.4231549068 — 오차 -0.30. '풀린 파라미터' 범주의 3번째 점이고 과거 두 건(+0.000011 / -0.117)보다 크지만 여전히 가정 전이율 범주(23.3)와는 두 자릿수 차이다. rho=0.0975922. 핵심 소득은 점수가 아니라 w2 곡선 위 3번째 점 — 16회차 k2=0.9340 은 lambda=0.9725 를 플래툰 축에서 빌려온 가정 위의 값이었고 이제 k2 와 lambda2 를 동시에 풀 수 있다. 규정 4) 회색지대 항목이 대기 -> 제출로 확정됨
18,2026-08-13,+ 플래툰x주자유무 w3=0.30 축소2000 (w2 0.5470 alpha 1.089163 center 0.622907),,953.7373675006,,1.31,,yes,예상 953.6943 실측 953.7373675006 — 오차 +0.043. 13회차 다음으로 정확하다. 실측 k2=0.9651 로 원장 5-b 가 접었던 축을 재평가해 되살린 건이다. 5-b 의 기각은 전이율을 낮게 가정한 판정이었고 2진화(주자유무)를 시도하지 않은 것이 원인이었다 — 주자상태 8단은 같은 정보로 분산만 늘어 열등하다. 오차가 양수이므로 k3 는 차용값 0.9651 보다 높다. 이 점으로 k3 를 실측한다
19,2026-08-13,카운트축을 중첩 2층으로 분해 — 플래툰0.20 + 거친(투수유리)0.825 + 카운트|거친0.28 + 주자유무0.45 (alpha 1.089079 center 0.620698),,955.2193198652,,1.48,,yes,예상 957.4367 실측 955.2193198652 — 오차 -2.22. 개선은 했으나(+1.48) 예상에 못 미쳤다. '풀린 파라미터' 범주의 과거 최대 오차(-0.30)를 크게 넘으므로 이 회차는 그 범주가 아니다 — 빌려온 전이율 두 개(거친축 k_c 와 4단 k_n 둘 다 0.9726 차용)가 빗나갔다는 뜻이다. 3단 전이율이 축에 무관하다는 18회차 결론이 새 축종류(투수유리)에는 그대로 안 옮겨간 것으로 보인다. 관측이 하나라 k_c 와 k_n 을 동시에 못 풀며 일관 궤적만 나온다 — 분리하려면 한 층만 바꾼 점이 하나 더 필요하다
20,2026-08-14,CAAFE11 in-model + 편차4 + 적률정합 아핀 (alpha 1.079724 center 0.637217),,952.4983460964,,-2.72,,yes,예상 978.6 실측 952.4983 — 오차 -26.1. 로컬 3폴드가 3/3(기하평균 1.0256)을 통과했는데 평가셋 전이가 0 이었다. 두 관측(A/B판)으로 적률을 풀면 rho 0.097616 vs 챔피언 0.097757 로 rho^2 배수 0.9971 이다. 아핀은 잘 맞았다 — A판이 자기 최적 952.88 에서 0.38 밖에 안 벗어났으므로 적률 정합은 의도대로 작동했고 손실은 전부 rho 에서 났다. 3/3 의 실체가 2022 1.0001(사실상 0) / 2023 1.0465(퇴화 폴드) / 2024 1.0308 이었고 평가셋은 2022 처럼 행동했다. 부호 게이트만으로는 전이를 보장하지 못한다
21,2026-08-14,같은 모델 + 클린 아핀 (alpha 1.09 center 0.523766 = 학습 타깃 평균),,924.3786323240,,-28.12,,yes,규정 4) 회색지대의 값을 처음으로 실측했다 — LB 역산 아핀과 클린 아핀의 차이가 28.12 다 (STATUS 3장의 추정 40~55보다 작다). 924.38 이 현재 확보된 완전 클린 최고 기록이다. 다만 이 판의 아핀 최적은 955.28 이므로 클린 아핀 자체가 31점을 흘리고 있다 — center 를 학습 평균으로 둔 탓이고 챔피언의 로컬->평가 drift(-0.021464)는 워크포워드로 추정 가능한 양이라 평가셋 정보 없이도 줄일 여지가 있다
22,2026-08-14,AS-OF 현재상태 분해 13피처 + 편차4 + 클린아핀 (alpha 1.09 center 0.583742),,1040.8656,,85.65,,yes,예상 986~1078 실측 1040.8656 — 구간 상단부. 챔피언 955.2193 대비 +85.65 로 이 프로젝트 최대 단일 상승이다. asof_* 가 시즌 리셋이 아니라 통산 누적이라는 사실에서 출발해 학습 데이터의 선수별 통산을 빼 2025 시즌 현재 상태를 대수적으로 복원했다 (cur_n 은 실제 시즌내 순번과 100.0000% 일치 cur_rate 복원 평균절대오차 3.1e-6). 2024 폴드 배수 1.1287 중 약 78~87% 가 평가셋으로 전이됐다 — CAAFE 의 0% 와 정반대다. 적률을 풀면 아핀 최적이 1041.1~1049.5 이므로 현재 손실이 0.2~8.6 이고 alpha 1.09 는 최적 구간(1.020~1.160) 한가운데다. 아핀으로 더 짜낼 것은 없다. 그리고 이 판은 클린 아핀이라 규정 4) 회색지대를 완전히 벗어난 상태에서 나온 점수다
23,2026-08-15,D + F(최근경기 vs 시즌내 누적) 6피처 alpha 1.090000 center 0.578117,911.6,1032.3181708871,12.2,-8.55,-0.70,yes,"예상 1051.9~1053.2 실측 1032.3182 — 오차 약 -20. 아핀이 아니라 전부 rho 다 (alpha 동일, center 차 0.005625 는 절편에 0.1점 미만). rho^2 배수 0.99179 이므로 로컬 +1.36% 가 평가셋에서 -0.82% -> 전이율 -60%. min gain 1.0026 을 'CAAFE 의 26배'로 읽은 것이 오독이었고 0.26% 는 절대 크기로 노이즈 대역이다 (게이트 E 에서 시드 노이즈 0.13% 를 이미 재고도 통과시켰다). 새 규칙 — min gain 1.01 이상 그리고 시드 노이즈의 5배 이상. 6-19 참조"
24,2026-08-15,D + X(D x 맥락) 8피처 alpha 1.090000 center 0.584040,924.4,1044.7656025343,25.0,3.90,0.16,yes,"새 최고. 예상 1063.5~1066.1 실측 1044.7656 — 2024 폴드 기준 예측이 -19 빗나갔다. 그런데 이 점으로 전이 법칙이 풀린다 (6-21): 실측이득 = 0.851 x (로컬2024이득 - 2.34%). D 와 X 로 풀고 F 로 검증했더니 F 의 LB 예측이 1032.18 (실측 1032.32) 로 오차 0.14점. 손익분기 로컬 2024 +2.34% — F 의 1.36% 는 그 아래라 실패가 예정돼 있었다. 1100 이려면 로컬 2024 이득 8.55% 가 필요하다 (D 가 12.87%, X 가 2.78%)"
25,2026-08-15,X + H1 수준확장 (cur_{ball_rev_str} x {같은손 볼-스트라이크}) alpha 1.090000 center 0.585445,944.0,1049.9225979712,19.6,5.16,0.26,yes,"새 최고. 가설 예측 1042.81 이었는데 실측 1049.9226 — 오차 +7.11 로 21 의 전이식이 깨졌다. X(로컬 2.78%, LB +0.375%)와 H1(로컬 2.12%, LB +0.494%)이 역전이라 단조 모형이 성립하지 않는다. 4점 재적합 k=0.830 c=2.07% 잔차 RMS 2.9점. 손익분기 2.1% 는 유지되지만 정밀도가 ±0.1점이 아니라 ±3점이다. 22-j 의 제출 보류 판단은 틀렸고 그대로 따랐으면 +5.16 을 버렸다. 6-23 참조"
26,2026-08-16,champ + K2(2스트라이크 국면 cur_{ball,rev} x {2S, 2S&b<=1}) alpha 1.09 center 클린,935.8,1045.1995867098,-8.2,-4.72,0.58,yes,"생산 경로가 맞았고 캐시 경로가 틀렸다. 캐시(후처리 편차 없음) 6시드 +5.5 (+0.60%) 였는데 생산 경로는 -8.2 (-0.87%) 였고 실측이 -4.72 로 생산 쪽 부호를 따랐다. 원인은 후처리 편차 3번축 dev(플래툰x투수유리x카운트)와의 중복 — 투수유리 = strikes>balls 라 후처리가 이미 2스트라이크 국면을 다룬다. 그리고 21/23 의 전이식이 세 번째로 깨졌다: 4점 적합 예측 1024.3 실측 1045.20 오차 +20.9. 5점 재적합 잔차 RMS 7.8점. |로컬|<3% 구간에서 비율이 -0.60~0.52 로 흩어져 부호조차 예측 불가다. 6-24 참조"
27,2026-08-16,champ + EB축소 5열 (cur_{succ,mid,ball,rev,str} 의 경험적 베이즈 축소본 추가, k 는 적률법 추정),937.7,1036.0902099309,-6.2,-13.83,2.23,yes,"생산 경로 2024 배수 0.9934 로 음수였고 권고하지 않았으나 제출됨. 실측 -13.83 으로 예측(약 1043)보다 더 나빴다. 소득은 규칙 검증이다 — 그동안 2024 음수 후보를 제출한 적이 없어 그 게이트가 검증된 적 없었는데, 이제 K2 와 EB 두 건 모두 음수->음수로 확인됐다. 생산 경로 2024 부호가 LB 부호와 5/6 일치 (양수 4건 중 F 만 어긋남, 음수 2건은 2/2). 크기는 여전히 못 맞힌다 — 비율이 -0.60~2.00 으로 흩어진다. 6-28 참조"
28,2026-08-18,cand_submit_3 = Champion + 잔차기반 차등 3축 (손 k=1000 / 2스트라이크 k=1000 / 주자유무 k=2000). 모델 재학습 없음 후처리 표만 추가,958.1,1057.3394030999,14.4,7.42,0.463,yes,"새 최고. 25회차 이후 첫 상승이다. 로컬 +1.53% -> LB +0.706% 로 전이율 0.463. 오늘 세운 방법론 전체가 검증됐다 — (1) 오라클은 경기 단위 분할로 재야 한다(투구 단위는 클러스터 누수로 부풀려진다) (2) 축소 k 는 적률법이 아니라 과거 전이로 고른다 (3) 수준은 모델이 재학습에서 흡수하므로 차등만 표로 만든다 (4) 서로 독립인 약한 신호는 누적된다(상관 0.004~0.007). 게이트 +3.8% 에 못 미치는 +1.53% 후보였으나 정보성 제출로 냈고 올랐다"
29,2026-08-18,cand_submit_2 = Champion + 잔차기반 손 차등 1축 (k=1000),951.6,1053.5950918323,7.8,3.67,0.423,yes,"C3 의 축 분리용 정보성 제출. 로컬 +0.83% -> LB +0.350% 로 전이율 0.423. C3(0.463)·C3−C2 증분(0.508)과 함께 세 측정이 0.42~0.51 로 모인다. 이 family(후처리 잔차 차등)는 기존 앵커(−0.605~+2.006)와 달리 전이율이 안정적이다"
30,2026-08-18,cand_final = C3 구조 그대로 잔차차등 표 원천만 2시즌(2023+2024) -> 5시즌(2020~2024),962.9,1047.3863324656,4.7,-9.95,-1.89,no,"🚩 실패. 예상 1059.6 실측 1047.3863 으로 C3 대비 -9.95, 원래 Champion C1 보다도 -2.54 낮다. 전이율 -1.890 으로 부호가 반대다(C2 +0.423 / C3 +0.463 과 대조). 원인 — 폴드 2024 의 원천 시즌 곡선(1개 +15.2 / 2개 +14.4 / 3개 +16.3 / 4개 +19.1)이 **비단조**였고 두 폴드 모두 n=1 이 n=2 보다 높았다. 그 비단조가 잡음의 신호였는데 n=3 의 2/2 지지만 보고 ''가용 데이터를 다 쓴다'' 로 읽었다. 실제로는 **최신성이 표본량보다 중요**하다 — 오래된 시즌의 차등은 낡아서 2025 에 해롭다. 교훈: 축을 추가하는 변경과 기존 표의 추정 방식을 바꾸는 변경은 전이 성질이 전혀 다르다"
31,2026-08-18,cand_wd060 = C3 차등3축 가중 w 1.0 -> 0.60 (표·키 불변 스칼라만),,1060.3076531721,,2.97,,yes,"새 최고. 이득(w)=A(2bw-w^2) 의 3번째 점을 찍어 곡선이 풀렸다 — A=24.73, b=0.650 으로 LB 최적 wc=0.650 확정. 로컬 최적은 0.80 이었으므로 대비 축은 로컬보다 **작게** 실어야 한다(전이 +0.84). 형제 후보 wd035/dev075 의 실측값은 기록에 남지 않았다"
32,2026-08-18,cand_mono10 = 단조 제약 10열 (통산 5비율 + cur_* 5),968.1,994.5736824471,9.4,-65.73,-6.32,no,"🚩 참사. TYPE B(모델 적합 방식)를 로컬 폴드 하나로 제출한 규율 위반. 버그가 아니다 — in-sample 2024 가 910.4 -> 1034.7 로 제약 쪽이 더 잘 맞는다. 제약은 용량을 줄이지 않고 방향이 확실한 열(cur_succ)로 몰아주는데 그 열이 시즌을 건너며 감쇠(b=0.65)한다. 전이 위계 확정 — 후처리 가중(+0.84) > 표 제작(-1.89) > 모델 적합(-6.32)"
33,2026-08-19,cand_ens468 = depth 4/6/8 구성 앙상블 9모델,,1057.5627187714,,-2.75,,yes,"평균이 depth6 단독보다 나쁘다. 구성 다양화 종료"
34,2026-08-19,cand_pmain = 차등3 w=0.65 + **투수 주효과** k=50000 w=1.0 (수준 축 첫 투입),,1061.4979059860,0.8,1.19,1.49,yes,"🚩 수준 축의 전이율이 1 을 넘는다. 8개월간 후처리는 전부 *대비*였고 투수/타자의 **수준** 자체를 싣는 축이 하나도 없었다. +3.8% 게이트가 '투수 잔차표 전이 +0.7%' 로 초기에 잘라낸 탓이다"
35,2026-08-19,cand_bmain = + **타자 주효과** k=20000 w=1.5,,1071.3085,4.2,9.81,2.34,yes,"🚩🚩 이번 대회 두 번째 큰 상승. 수준 축 전이율 2.34 로 증폭됐다. 대비 축(+0.84)과 정반대 — 대비는 로컬보다 작게, 수준은 크게 실어야 한다"
36,2026-08-19,cand_bw25 = 타자 주효과 w 1.5 -> 2.5,,1071.8145632143,,0.51,,yes,"세 점(w=0/1.5/2.5)으로 타자 수준 곡선 확정 — A=2.414 b=2.105, LB 최적 w=2.10 이고 잔여 이득 +0.38. w 축 소진. **현 Champion**"
37,2026-08-19,cand_full2 = bw25 + 투수x볼우위(b>s) k=300 w=0.5 + 타자 w 2.1 + 쌍,,1064.7474,,-7.07,-3.4,yes,"🚩 볼우위 실패. 로컬 3폴드 양수(+1.4/+5.9/+2.2)에 기존 축과 겹침 0.02 였는데 LB 전이 -3.4. 구현 오류 아님(생산 표 vs 로컬 공식 최대차 0.000e+00). 교훈 — 후처리가 안전 등급인 것은 **이미 LB 로 검증된 축의 가중 조정**에 한한다. 새 후처리 축은 in-model 신규와 같은 위험 등급이다. 부수 오류: 세 변경을 한 제출에 묶어 귀속에 추가 분석이 필요했다"
38,2026-08-20,cand_dcfull = 전면 감쇠 재구성 (γd .85 / γc .85 / γb .5 · wc .65->.80 · wp 1.0->2.0 · wb 2.5->1.75 · ksh1 2000->1600 · wpost3 .45->.26),969.7,1066.8796553114,7.1,-4.93,-0.62,no,"🚩 감쇠 표 실패. 로컬 +0.738% -> LB -0.460%, 전이율 -0.624. 두 LB 곡선으로 귀속하면 가중 이동분(wc -0.56 / wb +0.07 / wp +0.45)이 서로 상쇄해 -0.04 이고 **-4.90 전부가 감쇠 표 재구성 자체**다. 8/19 의 '30회차 실패 원인은 창 확대가 아니라 균등 가중이었다'는 재해석이 반증됐다 — 감쇠 가중으로 다중시즌을 써도 전이는 음수다. TYPE B 4연패(-9.95 / -65.73 / -4.93, 신축 -7.07)"
39,2026-08-20,cand_dv080 = bw25 + 편차 4축 전역 x0.80 -> w=[0.16 0.66 0.224 0.36] (표·키 불변 스칼라만),,1073.8236813606,,2.01,,yes,"🚩 새 최고. 8개월간 로컬로만 잡혀 있던 마지막 가중 블록을 처음 LB 로 쟀고 가설대로 **과대**였다. 이로써 LB 로 잰 가중 다섯 번이 전부 로컬 최적과 달랐다 — 대비 0.80->0.65, 타자 1.70->2.10, 편차 1.00->0.80 이하. 제약식 A(0.9-b)=5.023 이 남고 m=0.6 한 점이 b 를 유일하게 결정한다"
40,2026-08-20,cand_dv060 = 편차 4축 전역 x0.60,,1074.8797684337,,1.06,,yes,"🚩 새 최고. 세 점(m=1.0/0.8/0.6)으로 편차 곡선이 정확히 풀렸다 — S(m)=1072.3298+11.3976m-11.9129m^2, A=11.913 b=0.4784. **충격적인 부산물: S0=1072.3298 > S(1.0)=1071.8146** 이므로 편차 4축은 로컬 가중에서 LB 를 **-0.515 깎고 있었다.** 8개월간 실려 있던 블록이 순 손해였다. 최적 m=0.4784 에서 +2.726 이고 dv060 대비 남은 몫은 +0.176 뿐이다"
41,2026-08-20,cand_h1 = 편차 m*=0.4784 + 투수수준 wp 1.0->2.0 + 타자수준 wb 2.5->2.10,,1075.4602240995,,0.58,,yes,"🚩 새 최고. 다만 예상 1075.88 에 -0.42 못 미쳤다. 3점으로 푼 두 곡선(편차 +0.176 / 타자 +0.377)이 맞았다고 보면 투수 몫이 +0.027 로 외삽값 +0.449 의 6% 다. 투수 곡선을 재적합하면 A=0.5813 b=**1.5236** 으로, 타자에서 차용한 b=2.105 가 틀렸다. wp=2.0 은 최적(1.524)을 넘어선 값이고 되돌리면 +0.132. 교훈 — 곡선은 다른 블록을 고정한 채 쟀으므로 세 블록을 동시에 움직이면 합이 안 맞는다"
42,2026-08-20,cand_ch040 = h1 위 손 차등만 0.65 -> 0.40,,1073.8053650722,,-1.65,,yes,"손 차등은 **줄이면 안 되는 축**이다. 두 점으로 제약 0.25P-0.2625Q=1.6549 -> b=3.3097/Q+0.525 이므로 b>0.525 가 확정이고 세 번째 점이 필요하다. 🚩 구조적 추론 — 옛 기준선에서 세 축 전역 최적이 0.65 였는데 손 축의 편미분이 양수이므로 2S/주자 중 최소 하나는 낮춰야 한다. 내일 그것부터 확인한다"
43,2026-08-21,cand_opt1 = EXP042 해석적 최적 (9가중 전부 이동),,1074.0991198297,,-1.3611,,yes,"🚩 해석적 최적 실패. 예상 1076.76 -> 실측 1074.10, 어긋남 -2.66. 버그 아님(표·모델·아핀 h1 과 동일, 9가중만 이동). 원인 — 11점은 전부 **블록 부분공간** 안에 있어서 편차4축 내부 3 dof 와 2S/주자 분리 1 dof, 합 4 dof 가 한 번도 LB 로 측정된 적이 없었다. opt1 은 정확히 그 4 dof 로 이동했고 g_i = t_block x 로컬 cov 라는 **모양 가정**이 거기서 깨졌다. 12점 재적합에서 현행 5블록은 RMS 0.629 로 못 맞추고(h1 -0.85 / opt1 +1.41), 블록을 **어느 것이든** 하나 쪼개면 전부 RMS 0.2887 로 같다 -> 관측 1개로는 어느 방향이 틀렸는지 **구별 불가**. 부산물: 보정 벡터 상관 구조가 드러났다 — 강한 쌍은 둘뿐(dev0_platoon x c_hand 0.547, dev3_runner x c_runner 0.510)이고 나머지는 거의 직교다"
44,2026-08-21,"cand_rob1 = EXP044 강건최적 (6가중 이동, 편차 모양 고정)",,1075.4565603437,,-0.0037,,yes,"🚩 6개 가중을 크게 움직였는데 점수가 -0.0037. 실패가 아니라 **가장 정보량 큰 관측**이다. min-max 앙상블(78 적합)이 약속한 최악 +0.502 가 실제로는 -0.004 — 앙상블 스프레드는 함수형이 공유하는 **계통 오차를 못 덮는다.** 그러나 직접 측정된 좌표 곡선으로 분해하면 완전히 설명된다: c_hand 0.65->0.704 +0.13 / L_batter 2.10->2.51 **-0.40** / L_pitcher +0.01 / 편차 -0.01 -> 잔여 **+0.265 가 c_2strike+c_runner 0.65->0.7755 의 몫**. 즉 대비 블록은 0.65 위로 올라가는 것이 맞고(편차를 m*=0.478 로 반감한 뒤 짝 축에 여지가 생겼다) 유일한 손실원이 타자 가중 과다였다. 42회차의 '2S/주자 중 하나는 내려야' 구조 추론은 **옛 편차 가중 전제라 무효**. 따름 후보 cand_rob2 = rob1 에서 wb 만 2.105 복귀, 예상 +0.396"
45,2026-08-21,cand_rob2 = rob1 에서 L_batter 만 2.5119 -> 2.105 (3점 곡선 최적),,1075.9241751258,,0.4640,,yes,"🚩 **새 Champion.** 예상 +0.396 실측 +0.464, 오차 +0.068. 44회차의 -0.0037 을 측정된 좌표 곡선으로 분해한 귀속이 맞았다 — 손실원은 타자 가중 과다 하나였고 c_hand(+0.13)와 c_2S+c_runner(+0.265)는 이득이었다. 이로써 **대비 3축의 최적은 0.65 가 아니라 0.70~0.78 위**임이 확정된다(편차를 m*=0.478 로 반감하면서 짝 축 dev0~c_hand r=0.547 / dev3~c_runner r=0.510 에 여지가 생겼다). 방법론 확정 — 전역 비율 모형(EXP042)은 미식별 방향 외삽으로 두 번 실패(-2.66, -0.50)했고 **좌표별 3점 곡선**은 두 번 맞혔다(41 +0.377 실현, 45 +0.464). 후속 EXP048(가법 OLS, dof 2)에서 남은 블록의 표준오차가 A=±19~24 로 부호조차 미정이고 LOO 14적합에서 최악 증분 양수 후보가 0개 — **후처리 9가중 공간 소진**"
46,2026-08-21,cand_aux8 = 82열 + 보조 라벨 확률 8열 (AUX 스태킹),957.0,1068.1344330309,+2.399%,-7.7897,-0.302,yes,"🚩 AUX family 전이 **-0.302**. 로컬 2024 +2.399%(3시드 t=6.3, 8/8 양수, in-sample 상승률이 홀드아웃보다 낮아 과적합 서명 없음)였는데 LB -0.724%. F(recent-history, 로컬 +1.36% -> LB -8.55, 전이 -0.605)와 같은 패턴이다. 버그 아님 — 표 9개·가중·alpha·center·asof_prior 가 rob2 와 비트 단위 동일하고 바뀐 것은 모델과 피처뿐. 구조 청정·단독행 0.00e+00·verify 4단계·추론 13.1s. **기제 — 적합된 피처(stacked feature)는 전이 위험이 곱해진다.** 보조 모델의 관계 자체가 시즌을 건너 이동하는데, 주 모델은 그 정밀한 요약에 용량을 몰아주고 원시열 대신 그것을 쓴다. 단조 제약(-65.73)이 cur_succ 로 용량을 몰아준 것과 같은 구조이고, 다만 이번엔 in-sample 서명으로는 안 잡혔다. **로컬 워크포워드가 잡아내지 못하는 전이 실패가 있다** — 폴드 2024 도 한 시즌 간격이라 설정이 같았는데 부호가 갈렸다"
47,2026-08-22,cand_aux1 = 82열 + 보조 라벨 확률 **1열**(H=middle∨reverse),,1067.7617993430,+0.643%,-8.1624,-1.180,yes,"🚩🚩 **손실이 비례하지 않고 상수다.** aux8(보조 8열, 로컬 +2.399%)이 -7.79 였는데 aux1(보조 1열, 로컬 +0.643%)은 **-8.16 으로 더 나쁘다.** 로컬 이득은 3.7배 차이인데 LB 손실은 사실상 같다 -> 손해의 원천은 보조 피처의 크기가 아니라 **스태킹 피처를 하나라도 도입한다는 구조 자체**다. 주 모델이 정밀한 적합 요약을 중심으로 재구성되고 그 재구성이 시즌을 못 건넌다. **전이비 프레임(LB% = 비율 x 로컬%)이 깨지는 첫 사례** — 여기선 로컬과 무관한 고정 비용이다. 8/21 에 세운 규칙 '미지 family 는 최소 판본으로, 손실도 최소'의 후반부가 반증됐다. 최소 판본 원칙은 유지(부호를 사는 것이니)하되 손실 크기 근거로는 못 쓴다. **스태킹/적합된 파생 family 완전 종료 (LB 앵커 2개)**"
48,2026-08-22,cand_mir = 미측정 4dof 미러 (편차 모양 3 + 2S/주자 분할 1),,1076.2214381865,,+0.2973,,yes,"🚩🚩 **새 Champion.** 사용자 발상 — 독립 축이 아니라 **결합 방향을 하나의 새 축으로** 보고, 43회차 opt1 의 -1.36 을 '잡음으로 거부'하지 않고 **그 방향에 힘이 있다는 측정값**으로 읽었다. d=opt1-h1 을 **미측정 부분공간(편차 내부 모양 3dof + 2S/주자 분할 1dof)에만 사영**하고 반대편을 찍었다. 편차 노름(0.499207)·c_2S+c_run 합(1.550617)·c_hand·L_p·L_b 를 전부 고정해 이미 LB 로 잰 축은 건드리지 않았다. 결과 +0.2973 -> **미측정 4dof 에 기울기가 있고 해석적 최적(C^-1)의 반대편이다.** 8개월간 로컬로만 정해져 있던 편차 모양 [0.200 0.824 0.280 0.450] 이 처음으로 LB 검증을 받았고 틀렸다. 곡선 -a-b=+0.2973 로 아직 미지수 2개 — t=2 로 3점 해법 완성 필요"
49,2026-08-22,cand_mir2 = 미러 스텝 t=2,,1075.8671028040,,-0.3543,,yes,"3점 해법 완성 — S(t)=S0+0.62306t-0.32580t^2, 최적 t*=0.9562, 최대이득 +0.2979. 검산 S(1)=1076.22144 vs 실측 1076.2214381865 오차 0.00006. **cand_mir 가 이미 최적**이고 남은 몫 +0.0007 -> **이 방향 소진**. 미측정 부분공간은 4차원이고 p 는 그중 한 방향이므로 직교 3방향이 남는다"
50,2026-08-22,"cand_aux1 = 82열 + 보조라벨 확률 1열 (재기재: 47회차와 동일 건 아님, 47 참조)",,,,,,,(자리 비움 — 47회차에 이미 기록됨)
